"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"2122","Houston TX",2014,17,352,"",230,"",89,"",21,"",7,"",5,"",11,"Houston TX
 (29.763276335000455 95.36326748399966)"
"2123","Evansville IN",2014,17,61,"",38,"",15,"",6,"",2,"",NA,"",2,"Evansville IN
 (37.97475929000046 87.55584710499966)"
"2124","New York City NY",2014,17,1076,"",792,"",225,"",41,"",13,"",5,"",70,"New York City NY
 (40.71426755700048 74.00596858999967)"
"2125","Kansas City KS",2014,17,33,"",20,"",11,"",2,"",NA,"",NA,"",2,"Kansas City KS
 (39.114166258000466 94.62745963399965)"
"2126","Cambridge MA",2014,17,13,"",13,"",NA,"",NA,"",NA,"",NA,"",NA,"Cambridge MA
 (42.37509973100049 71.10560922099967)"
"2127","Yonkers NY",2014,17,19,"",15,"",2,"",1,"",1,"",NA,"",1,"Yonkers NY
 (40.93120596400047 73.89874802099968)"
"2128","Fall River MA",2014,17,27,"",23,"",4,"",NA,"",NA,"",NA,"",4,"Fall River MA
 (41.70148962100046 71.15504614199966)"
"2129","San Francisco CA",2014,17,115,"",77,"",30,"",7,"",1,"",NA,"",11,"San Francisco CA
 (37.774928298000475 122.41941905199968)"
"2130","Albuquerque NM",2014,17,128,"",88,"",27,"",11,"",1,"",1,"",15,"Albuquerque NM
 (35.084487986000454 106.65113800499967)"
"2131","Phoenix AZ",2014,17,208,"",130,"",53,"",14,"",7,"",4,"",7,"Phoenix AZ
 (33.448376522000444 112.07403573799968)"
"2132","Seattle WA",2014,17,117,"",80,"",20,"",13,"",3,"",1,"",5,"Seattle WA
 (47.60620722800047 122.33206864199968)"
"2133","Baltimore MD",2014,17,185,"",117,"",44,"",13,"",3,"",8,"",17,"Baltimore MD
 (39.29037893700047 76.61218570299962)"
"2134","Pueblo CO",2014,17,29,"",19,"",6,"",3,"",1,"",NA,"",2,"Pueblo CO
 (38.25444888500044 104.6091371339997)"
"2135","Austin TX",2014,17,95,"",59,"",25,"",8,"",3,"",NA,"",10,"Austin TX
 (30.26714866600048 97.74305656899969)"
"2136","Duluth MN",2014,17,26,"",19,"",6,"",1,"",NA,"",NA,"",2,"Duluth MN
 (46.78326944800045 92.10657711699969)"
"2137","Tucson AZ",2014,17,183,"",128,"",36,"",11,"",6,"",2,"",3,"Tucson AZ
 (32.22173613300049 110.92647552399967)"
"2138","Corpus Christi TX",2014,17,41,"",31,"",5,"",4,"",NA,"",1,"",1,"Corpus Christi TX
 (27.800576119000482 97.39637717799968)"
"2139","Fort Worth TX",2014,17,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.725405983000485 97.32084717299966)"
"2140","Portland OR",2014,17,125,"",90,"",28,"",5,"",2,"",NA,"",5,"Portland OR
 (45.52344913200045 122.6762057679997)"
"2141","Minneapolis MN",2014,17,57,"",36,"",10,"",7,"",2,"",2,"",7,"Minneapolis MN
 (44.979966969000486 93.26383843199966)"
"2142","Waterbury CT",2014,17,37,"",29,"",6,"",2,"",NA,"",NA,"",3,"Waterbury CT
 (41.558146397000485 73.05149899299965)"
"2143","Berkeley CA",2014,17,14,"",11,"",3,"",NA,"",NA,"",NA,"",NA,"Berkeley CA
 (37.871588345000475 122.27274613599968)"
"2144","Pittsburgh PAå¤",2014,17,49,"",33,"",12,"",2,"",1,"",1,"",1,"Pittsburgh PA
 (40.44061640300049 79.99588580599965)"
"2145","Tacoma WA",2014,17,113,"",77,"",28,"",3,"",4,"",1,"",7,"Tacoma WA
 (47.25287745300051 122.44428824799968)"
"2146","Trenton NJ",2014,17,31,"",13,"",15,"",2,"",1,"",NA,"",1,"Trenton NJ
 (40.21704561000047 74.74293733199966)"
"2147","Lexington KY",2014,17,65,"",50,"",9,"",4,"",1,"",1,"",NA,"Lexington KY
 (37.988689999000485 84.47771819999969)"
"2148","Somerville MA",2014,17,2,"",1,"",1,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.38759957400049 71.09949878699967)"
"2149","Sacramento CA",2014,17,222,"",154,"",48,"",11,"",3,"",6,"",20,"Sacramento CA
 (38.58156858700045 121.49439922699969)"
"2150","Jacksonville FL",2014,17,142,"",92,"",32,"",11,"",2,"",5,"",6,"Jacksonville FL
 (30.33217664300048 81.65564707899966)"
"2151","Santa Cruz CA",2014,17,30,"",22,"",3,"",3,"",2,"",NA,"",NA,"Santa Cruz CA
 (36.97411946900047 122.0307990449997)"
"2152","Montgomery AL",2014,17,49,"",31,"",12,"",4,"",2,"",NA,"",4,"Montgomery AL
 (32.36680719600048 86.29996842399964)"
"2153","Miami FL",2014,17,64,"",50,"",10,"",3,"",1,"",NA,"",3,"Miami FL
 (25.774269795000464 80.19365598899964)"
"2154","Boise ID",2014,17,51,"",38,"",8,"",3,"",1,"",1,"",2,"Boise ID
 (43.61349753100046 116.20344727299971)"
"2155","Erie PA",2014,17,51,"",37,"",12,"",1,"",NA,"",1,"",1,"Erie PA
 (42.1292155050005 80.08505854699968)"
"2156","Lowell MA",2014,17,23,"",15,"",7,"",1,"",NA,"",NA,"",3,"Lowell MA
 (42.63341630600047 71.31616721899962)"
"2157","Schenectady NY",2014,17,17,"",8,"",6,"",3,"",NA,"",NA,"",1,"Schenectady NY
 (42.81423655900045 73.93956823999963)"
"2158","St. Petersburg FL",2014,17,59,"",40,"",16,"",1,"",2,"",NA,"",5,"St. Petersburg FL
 (27.77085637200048 82.67926627199967)"
"2159","Reading PA",2014,17,28,"",22,"",4,"",2,"",NA,"",NA,"",2,"Reading PA
 (40.335645625000495 75.92686767699968)"
"2160","Spokane WA",2014,17,75,"",57,"",16,"",1,"",1,"",NA,"",3,"Spokane WA
 (47.65965777700046 117.42907975499969)"
"2161","Memphis TN",2014,17,241,"",165,"",57,"",11,"",5,"",3,"",20,"Memphis TN
 (35.14952946200049 90.04897619199966)"
"2162","Baton Rouge LA",2014,17,96,"",68,"",22,"",2,"",1,"",3,"",4,"Baton Rouge LA
 (30.450749661000486 91.15454629399966)"
"2163","Glendale CA",2014,17,39,"",29,"",8,"",2,"",NA,"",NA,"",5,"Glendale CA
 (34.142509231000474 118.2550772519997)"
"2164","Dayton OH",2014,17,156,"",110,"",38,"",6,"",NA,"",2,"",9,"Dayton OH
 (39.758947539000474 84.19160769999968)"
"2165","Chattanooga TN",2014,17,101,"",67,"",23,"",6,"",5,"",NA,"",4,"Chattanooga TN
 (35.04562958500048 85.30967764399963)"
"2166","Milwaukee WI",2014,17,84,"",51,"",26,"",4,"",1,"",2,"",16,"Milwaukee WI
 (43.038896251000494 87.90646812999967)"
"2167","Buffalo NY",2014,17,93,"",64,"",19,"",6,"",1,"",3,"",7,"Buffalo NY
 (42.88644587100049 78.87836930999964)"
"2168","Jersey City NJ",2014,17,17,"",16,"",NA,"",1,"",NA,"",NA,"",2,"Jersey City NJ
 (40.7281577710005 74.07763795199963)"
"2169","Omaha NE",2014,17,89,"",65,"",20,"",1,"",3,"",NA,"",10,"Omaha NE
 (41.25860914000049 95.9377877719997)"
"2170","Washington D.C.",2014,17,104,"",63,"",32,"",6,"",1,"",2,"",5,"Washington D.C.
 (38.89510854700046 77.03636591599968)"
"2171","Columbus OH",2014,17,196,"",131,"",42,"",11,"",3,"",9,"",12,"Columbus OH
 (39.96117680800046 82.99878617799965)"
"2172","San Diego CA",2014,17,189,"",120,"",48,"",6,"",9,"",6,"",12,"San Diego CA
 (32.71532691700048 117.15725993099971)"
"2173","Shreveport LA",2014,17,85,"",59,"",22,"",3,"",1,"",NA,"",7,"Shreveport LA
 (32.52514753100047 93.75017588799966)"
"2174","Richmond VA",2014,17,60,"",44,"",14,"",2,"",NA,"",NA,"",3,"Richmond VA
 (37.5537557830005 77.46025815499968)"
"2175","Fort Wayne IN",2014,17,81,"",65,"",11,"",4,"",NA,"",1,"",4,"Fort Wayne IN
 (41.130595997000455 85.12885739199965)"
"2176","Dallas TX",2014,17,196,"",127,"",46,"",14,"",5,"",4,"",8,"Dallas TX
 (32.78305914300046 96.80666629699965)"
"2177","New Bedford MA",2014,17,17,"",10,"",3,"",4,"",NA,"",NA,"",1,"New Bedford MA
 (41.636218666000445 70.93419759699964)"
"2178","Wilmington DE",2014,17,11,"",8,"",2,"",1,"",NA,"",NA,"",1,"Wilmington DE
 (39.7459482430005 75.54658989799964)"
"2179","Albany NY",2014,17,50,"",36,"",9,"",1,"",1,"",3,"",5,"Albany NY
 (42.65257553200047 73.75622822099967)"
"2180","Kansas City MO",2014,17,94,"",56,"",31,"",5,"",2,"",NA,"",7,"Kansas City MO
 (39.099727095000446 94.57856716299966)"
"2181","Long Beach CA",2014,17,48,"",34,"",11,"",2,"",1,"",NA,"",3,"Long Beach CA
 (33.76695601500046 118.18922585099972)"
"2182","Toledo OH",2014,17,80,"",59,"",18,"",3,"",NA,"",NA,"",2,"Toledo OH
 (41.663936099000466 83.55520914299967)"
"2183","Worcester MA",2014,17,48,"",29,"",15,"",4,"",NA,"",NA,"",11,"Worcester MA
 (42.26258765200049 71.80228869399963)"
"2184","Elizabeth NJ",2014,17,17,"",11,"",4,"",1,"",1,"",NA,"",1,"Elizabeth NJ
 (40.66398921400048 74.21069962799965)"
"2185","Boston MA",2014,17,155,"",103,"",37,"",6,"",5,"",4,"",16,"Boston MA
 (42.358428776000494 71.05976746599964)"
"2186","Akron OH",2014,17,50,"",29,"",14,"",4,"",NA,"",3,"",5,"Akron OH
 (41.081438050000486 81.51900823499966)"
"2187","Colorado Springs CO",2014,17,81,"",53,"",17,"",9,"",1,"",1,"",1,"Colorado Springs CO
 (38.83387821800045 104.82135997799969)"
"2188","Syracuse NY",2014,17,79,"",54,"",21,"",2,"",2,"",NA,"",10,"Syracuse NY
 (43.04811589700046 76.14741924999964)"
"2189","Des Moines IA",2014,17,63,"",44,"",18,"",1,"",NA,"",NA,"",4,"Des Moines IA
 (41.60053697100045 93.60910945299969)"
"2190","Honolulu HI",2014,17,93,"",69,"",20,"",1,"",2,"",1,"",9,"Honolulu HI
 (21.306939558000465 157.85832571099974)"
"2191","Wichita KS",2014,17,96,"",61,"",24,"",6,"",3,"",2,"",9,"Wichita KS
 (37.69223945700048 97.33753612799967)"
"2192","Providence RI",2014,17,59,"",46,"",9,"",2,"",NA,"",2,"",5,"Providence RI
 (41.82398627500049 71.41282726599962)"
"2193","St. Louis MO",2014,17,58,"",33,"",18,"",1,"",3,"",3,"",7,"St. Louis MO
 (38.62726635500047 90.19788989999967)"
"2194","Savannah GA",2014,17,55,"",38,"",12,"",1,"",2,"",2,"",1,"Savannah GA
 (32.08353593300046 81.09982705899967)"
"2195","Gary IN",2014,17,14,"",7,"",3,"",2,"",1,"",1,"",1,"Gary IN
 (41.5933691350005 87.34642750099965)"
"2196","Bridgeport CT",2014,17,31,"",26,"",4,"",NA,"",1,"",NA,"",5,"Bridgeport CT
 (41.16703812200046 73.20482679199966)"
"2197","Rochester NY",2014,17,125,"",102,"",19,"",3,"",1,"",NA,"",8,"Rochester NY
 (43.154778518000455 77.61555677099966)"
"2198","Detroit MI",2014,17,173,"",89,"",54,"",19,"",8,"",3,"",10,"Detroit MI
 (42.331426776000455 83.04574832899965)"
"2199","Indianapolis IN",2014,17,207,"",114,"",67,"",13,"",9,"",4,"",11,"Indianapolis IN
 (39.768378665000455 86.15803806899964)"
"2200","Chicago IL",2014,17,245,"",152,"",66,"",14,"",10,"",3,"",13,"Chicago IL
 (41.850029863000486 87.65004587999965)"
"2201","Utica NY",2014,17,13,"",10,"",NA,"",2,"",1,"",NA,"",NA,"Utica NY
 (43.10089600800046 75.23265847499965)"
"2202","San Antonio TX",2014,17,137,"",87,"",35,"",12,"",2,"",1,"",7,"San Antonio TX
 (29.424115748000474 98.49362755099969)"
"2203","New Haven CT",2014,17,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"New Haven CT
 (41.308149552000486 72.92815641699963)"
"2204","El Paso TX",2014,17,69,"",54,"",11,"",3,"",NA,"",1,"",2,"El Paso TX
 (31.758715518000486 106.48692571399971)"
"2205","Camden NJ",2014,17,36,"",20,"",7,"",4,"",4,"",1,"",2,"Camden NJ
 (39.925949571000444 75.11961994399962)"
"2206","Lincoln NC",2014,17,50,"",36,"",4,"",7,"",3,"",NA,"",1,"Lincoln NC
 (40.799998117000484 96.66695873599969)"
"2207","Peoria IL",2014,17,65,"",41,"",14,"",2,"",3,"",5,"",2,"Peoria IL
 (40.693645967000464 89.58898829599968)"
"2208","Lynn MA",2014,17,8,"",6,"",2,"",NA,"",NA,"",NA,"",NA,"Lynn MA
 (42.466756242000486 70.94948718099965)"
"2209","Scranton PA",2014,17,41,"",33,"",6,"",NA,"",2,"",NA,"",2,"Scranton PA
 (41.408967214000484 75.66240917099964)"
"2210","Norfolk VA",2014,17,51,"",29,"",13,"",4,"",2,"",3,"",4,"Norfolk VA
 (36.846808260000444 76.28521898699967)"
"2211","Cleveland OH",2014,17,225,"",151,"",56,"",11,"",2,"",5,"",12,"Cleveland OH
 (41.49949882900046 81.69540989699965)"
"2212","Mobile AL",2014,17,83,"",59,"",15,"",6,"",NA,"",3,"",6,"Mobile AL
 (30.694357098000467 88.04304847999964)"
"2213","Youngstown OH",2014,17,65,"",50,"",13,"",NA,"",2,"",NA,"",4,"Youngstown OH
 (41.09977835100045 80.64951776699968)"
"2214","Tampa FL",2014,17,136,"",88,"",33,"",9,"",2,"",4,"",10,"Tampa FL
 (27.947519009000473 82.45842672599969)"
"2215","Knoxville TN",2014,17,148,"",108,"",26,"",9,"",2,"",3,"",7,"Knoxville TN
 (35.96063783700049 83.92073728699967)"
"2216","Tulsa OK",2014,17,81,"",60,"",17,"",2,"",1,"",1,"",5,"Tulsa OK
 (36.153975930000456 95.99277717899969)"
"2217","Canton OH",2014,17,38,"",28,"",10,"",NA,"",NA,"",NA,"",1,"Canton OH
 (40.79894971400046 81.37844575399964)"
"2218","Newark NJ",2014,17,48,"",27,"",18,"",1,"",1,"",1,"",3,"Newark NJ
 (40.735658576000446 74.17236767799966)"
"2219","Springfield MA",2014,17,44,"",33,"",7,"",1,"",1,"",2,"",3,"Springfield MA
 (42.10147557400046 72.58980575499965)"
"2220","Rockford IL",2014,17,60,"",43,"",15,"",2,"",NA,"",NA,"",5,"Rockford IL
 (42.27112786100048 89.09399814199969)"
"2221","Fresno CA",2014,17,134,"",97,"",27,"",7,"",1,"",2,"",18,"Fresno CA
 (36.74772743700049 119.77236822099968)"
"2222","Los Angeles CA",2014,17,249,"",156,"",61,"",19,"",9,"",4,"",23,"Los Angeles CA
 (34.05222959300045 118.2436798069997)"
"2223","Cincinnati OH",2014,17,73,"",38,"",19,"",6,"",1,"",9,"",4,"Cincinnati OH
 (39.1619968280005 84.45688962899965)"
"2224","New Orleans LA",2014,17,62,"",25,"",26,"",7,"",2,"",2,"",2,"New Orleans LA
 (29.95464811000045 90.07506927499969)"
"2225","Birmingham AL",2014,17,171,"",97,"",49,"",16,"",3,"",6,"",13,"Birmingham AL
 (33.52065782700049 86.80248638099965)"
"2226","San Jose CA",2014,17,206,"",151,"",47,"",6,"",NA,"",2,"",20,"San Jose CA
 (37.33938663800046 121.89495662699971)"
"2227","St. Paul MN",2014,17,40,"",28,"",9,"",2,"",NA,"",1,"",2,"St. Paul MN
 (44.94440676300047 93.0932682299997)"
"2228","Philadelphia PA",2014,17,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95233962700047 75.16378785299963)"
"2229","Allentown PA",2014,17,30,"",19,"",4,"",7,"",NA,"",NA,"",1,"Allentown PA
 (40.60842836000046 75.49017862299968)"
"2230","Denver CO",2014,17,71,"",45,"",17,"",5,"",2,"",2,"",2,"Denver CO
 (39.7391493720005 104.98469934999969)"
"2231","Little Rock AR",2014,17,111,"",65,"",31,"",10,"",2,"",3,"",12,"Little Rock AR
 (39.52368635500045 99.11415045099966)"
"2232","Hartford CT",2014,17,56,"",42,"",11,"",1,"",1,"",1,"",7,"Hartford CT
 (41.76370985800048 72.68508892999967)"
"2233","Las Vegas NV",2014,17,287,"",195,"",60,"",23,"",5,"",3,"",30,"Las Vegas NV
 (36.17496648600047 115.13721702699968)"
"2234","Pasadena CA",2014,17,29,"",22,"",5,"",1,"",NA,"",1,"",1,"Pasadena CA
 (34.14777824300046 118.14451799199969)"
"2235","Paterson NJ",2014,17,18,"",13,"",4,"",1,"",NA,"",NA,"",3,"Paterson NJ
 (40.916766802000495 74.17180972999967)"
"2236","Nashville TN",2014,17,170,"",108,"",49,"",7,"",1,"",5,"",14,"Nashville TN
 (36.165886327000464 86.78443855199964)"
"2237","Charlotte NC",2014,17,172,"",122,"",33,"",9,"",5,"",3,"",12,"Charlotte NC
 (35.22708877800045 80.84312583499968)"
"2238","Lansing MI",2014,17,47,"",33,"",12,"",1,"",1,"",NA,"",3,"Lansing MI
 (42.732537626000465 84.55552949299965)"
"2239","South Bend IN",2014,17,85,"",57,"",19,"",8,"",1,"",NA,"",5,"South Bend IN
 (41.68337879800049 86.25000955099966)"
"2240","New England",2014,18,533,"",380,"",111,"",28,"",6,"",8,"",79,""
"2241","Duluth MN",2014,31,26,"",19,"",6,"",NA,"",1,"",NA,"",NA,"Duluth MN"
"2242","E.N. Central",2014,18,1918,"",1294,"",458,"",98,"",30,"",38,"",133,""
"2243","W.N. Central",2014,18,679,"",448,"",155,"",40,"",13,"",22,"",50,""
"2244","S. Atlantic",2014,18,1121,"",721,"",259,"",63,"",24,"",25,"",81,""
"2245","E.S. Central",2014,18,928,"",613,"",225,"",50,"",19,"",21,"",67,""
"2246","W.S. Central",2014,18,1517,"",1021,"",348,"",75,"",43,"",30,"",59,""
"2247","Mountain",2014,18,1187,"",800,"",292,"",59,"",20,"",11,"",62,""
"2248","Pacific",2014,18,1648,"",1134,"",377,"",82,"",22,"",33,"",143,""
"2249","Totalå¦",2014,18,11297,"",7687,"",2598,"",573,"",198,"",206,"",771,""
"2250","Cambridge MA",2014,18,18,"",14,"",3,"",1,"",NA,"",NA,"",2,"Cambridge MA
 (42.37509973100049 71.10560922099967)"
"2251","Milwaukee WI",2014,18,97,"",57,"",30,"",7,"",1,"",2,"",6,"Milwaukee WI
 (43.038896251000494 87.90646812999967)"
"2252","Syracuse NY",2014,18,65,"",46,"",14,"",5,"",NA,"",NA,"",5,"Syracuse NY
 (43.04811589700046 76.14741924999964)"
"2253","Colorado Springs CO",2014,18,84,"",58,"",17,"",4,"",3,"",2,"",3,"Colorado Springs CO
 (38.83387821800045 104.82135997799969)"
"2254","Shreveport LA",2014,18,53,"",35,"",13,"",4,"",NA,"",1,"",5,"Shreveport LA
 (32.52514753100047 93.75017588799966)"
"2255","Sacramento CA",2014,18,215,"",153,"",43,"",15,"",1,"",3,"",18,"Sacramento CA
 (38.58156858700045 121.49439922699969)"
"2256","Reading PA",2014,18,22,"",16,"",4,"",1,"",NA,"",1,"",NA,"Reading PA
 (40.335645625000495 75.92686767699968)"
"2257","Buffalo NY",2014,18,89,"",66,"",20,"",2,"",NA,"",1,"",5,"Buffalo NY
 (42.88644587100049 78.87836930999964)"
"2258","Hartford CT",2014,18,59,"",41,"",9,"",4,"",NA,"",5,"",8,"Hartford CT
 (41.76370985800048 72.68508892999967)"
"2259","New Orleans LA",2014,18,37,"",24,"",8,"",3,"",2,"",NA,"",NA,"New Orleans LA
 (29.95464811000045 90.07506927499969)"
"2260","Scranton PA",2014,18,40,"",36,"",3,"",NA,"",NA,"",1,"",2,"Scranton PA
 (41.408967214000484 75.66240917099964)"
"2261","Indianapolis IN",2014,18,203,"",121,"",57,"",8,"",7,"",10,"",21,"Indianapolis IN
 (39.768378665000455 86.15803806899964)"
"2262","St. Louis MO",2014,18,84,"",50,"",18,"",5,"",3,"",8,"",4,"St. Louis MO
 (38.62726635500047 90.19788989999967)"
"2263","Denver CO",2014,18,96,"",53,"",35,"",6,"",NA,"",2,"",4,"Denver CO
 (39.7391493720005 104.98469934999969)"
"2264","Boston MA",2014,18,160,"",110,"",35,"",9,"",4,"",2,"",19,"Boston MA
 (42.358428776000494 71.05976746599964)"
"2265","Dayton OH",2014,18,128,"",86,"",28,"",12,"",2,"",NA,"",7,"Dayton OH
 (39.758947539000474 84.19160769999968)"
"2266","Little Rock AR",2014,18,72,"",43,"",19,"",8,"",2,"",NA,"",5,"Little Rock AR
 (39.52368635500045 99.11415045099966)"
"2267","Cleveland OH",2014,18,240,"",183,"",47,"",7,"",1,"",2,"",12,"Cleveland OH
 (41.49949882900046 81.69540989699965)"
"2268","Springfield MA",2014,18,33,"",22,"",9,"",2,"",NA,"",NA,"",2,"Springfield MA
 (42.10147557400046 72.58980575499965)"
"2269","San Francisco CA",2014,18,96,"",63,"",26,"",3,"",1,"",3,"",5,"San Francisco CA
 (37.774928298000475 122.41941905199968)"
"2270","Grand Rapids MI",2014,18,54,"",38,"",13,"",2,"",NA,"",1,"",6,"Grand Rapids MI
 (42.96335724700049 85.66808744799965)"
"2271","Bridgeport CT",2014,18,22,"",19,"",2,"",1,"",NA,"",NA,"",5,"Bridgeport CT
 (41.16703812200046 73.20482679199966)"
"2272","Boise ID",2014,18,55,"",45,"",6,"",1,"",3,"",NA,"",1,"Boise ID
 (43.61349753100046 116.20344727299971)"
"2273","San Antonio TX",2014,18,287,"",195,"",66,"",9,"",11,"",6,"",11,"San Antonio TX
 (29.424115748000474 98.49362755099969)"
"2274","Tulsa OK",2014,18,57,"",44,"",11,"",NA,"",1,"",1,"",1,"Tulsa OK
 (36.153975930000456 95.99277717899969)"
"2275","Baltimore MD",2014,18,134,"",68,"",46,"",13,"",3,"",4,"",11,"Baltimore MD
 (39.29037893700047 76.61218570299962)"
"2276","Santa Cruz CA",2014,18,35,"",24,"",11,"",NA,"",NA,"",NA,"",2,"Santa Cruz CA
 (36.97411946900047 122.0307990449997)"
"2277","Rochester NY",2014,18,150,"",109,"",34,"",4,"",2,"",1,"",12,"Rochester NY
 (43.154778518000455 77.61555677099966)"
"2278","Tucson AZ",2014,18,164,"",117,"",34,"",6,"",2,"",2,"",1,"Tucson AZ
 (32.22173613300049 110.92647552399967)"
"2279","Memphis TN",2014,18,192,"",119,"",51,"",13,"",6,"",3,"",21,"Memphis TN
 (35.14952946200049 90.04897619199966)"
"2280","Fort Worth TX",2014,18,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.725405983000485 97.32084717299966)"
"2281","Kansas City MO",2014,18,110,"",72,"",26,"",6,"",2,"",3,"",12,"Kansas City MO
 (39.099727095000446 94.57856716299966)"
"2282","Minneapolis MN",2014,18,70,"",39,"",24,"",3,"",NA,"",4,"",7,"Minneapolis MN
 (44.979966969000486 93.26383843199966)"
"2283","Honolulu HI",2014,18,83,"",57,"",17,"",5,"",NA,"",4,"",12,"Honolulu HI
 (21.306939558000465 157.85832571099974)"
"2284","Omaha NE",2014,18,81,"",55,"",17,"",5,"",1,"",3,"",9,"Omaha NE
 (41.25860914000049 95.9377877719997)"
"2285","Utica NY",2014,18,11,"",8,"",3,"",NA,"",NA,"",NA,"",1,"Utica NY
 (43.10089600800046 75.23265847499965)"
"2286","Knoxville TN",2014,18,76,"",53,"",19,"",NA,"",2,"",2,"",7,"Knoxville TN
 (35.96063783700049 83.92073728699967)"
"2287","Tampa FL",2014,18,117,"",83,"",21,"",6,"",NA,"",7,"",10,"Tampa FL
 (27.947519009000473 82.45842672599969)"
"2288","Salt Lake City UT",2014,18,129,"",89,"",29,"",8,"",1,"",2,"",9,"Salt Lake City UT
 (40.76077974900045 111.8910466859997)"
"2289","Glendale CA",2014,18,25,"",24,"",1,"",NA,"",NA,"",NA,"",1,"Glendale CA
 (34.142509231000474 118.2550772519997)"
"2290","Newark NJ",2014,18,36,"",17,"",13,"",4,"",2,"",NA,"",NA,"Newark NJ
 (40.735658576000446 74.17236767799966)"
"2291","Lowell MA",2014,18,22,"",16,"",5,"",NA,"",1,"",NA,"",4,"Lowell MA
 (42.63341630600047 71.31616721899962)"
"2292","Baton Rouge LA",2014,18,113,"",80,"",20,"",5,"",3,"",5,"",6,"Baton Rouge LA
 (30.450749661000486 91.15454629399966)"
"2293","Waterbury CT",2014,18,40,"",25,"",13,"",1,"",NA,"",1,"",6,"Waterbury CT
 (41.558146397000485 73.05149899299965)"
"2294","San Jose CA",2014,18,201,"",150,"",40,"",6,"",2,"",3,"",22,"San Jose CA
 (37.33938663800046 121.89495662699971)"
"2295","El Paso TX",2014,18,109,"",86,"",10,"",5,"",5,"",3,"",1,"El Paso TX
 (31.758715518000486 106.48692571399971)"
"2296","Albuquerque NM",2014,18,117,"",83,"",27,"",6,"",1,"",NA,"",8,"Albuquerque NM
 (35.084487986000454 106.65113800499967)"
"2297","Berkeley CA",2014,18,15,"",12,"",3,"",NA,"",NA,"",NA,"",2,"Berkeley CA
 (37.871588345000475 122.27274613599968)"
"2298","Fresno CA",2014,18,138,"",93,"",31,"",9,"",1,"",4,"",11,"Fresno CA
 (36.74772743700049 119.77236822099968)"
"2299","Toledo OH",2014,18,102,"",66,"",29,"",6,"",1,"",NA,"",5,"Toledo OH
 (41.663936099000466 83.55520914299967)"
"2300","Somerville MA",2014,18,5,"",5,"",NA,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.38759957400049 71.09949878699967)"
"2301","Gary IN",2014,18,4,"",NA,"",2,"",1,"",1,"",NA,"",NA,"Gary IN
 (41.5933691350005 87.34642750099965)"
"2302","Savannah GA",2014,18,44,"",33,"",8,"",NA,"",NA,"",3,"",3,"Savannah GA
 (32.08353593300046 81.09982705899967)"
"2303","Wilmington DE",2014,18,13,"",9,"",3,"",NA,"",1,"",NA,"",1,"Wilmington DE
 (39.7459482430005 75.54658989799964)"
"2304","Lansing MI",2014,18,54,"",44,"",7,"",3,"",NA,"",NA,"",5,"Lansing MI
 (42.732537626000465 84.55552949299965)"
"2305","Pittsburgh PAå¤",2014,18,45,"",37,"",7,"",NA,"",NA,"",1,"",3,"Pittsburgh PA
 (40.44061640300049 79.99588580599965)"
"2306","Trenton NJ",2014,18,19,"",10,"",5,"",1,"",3,"",NA,"",NA,"Trenton NJ
 (40.21704561000047 74.74293733199966)"
"2307","Akron OH",2014,18,62,"",40,"",18,"",2,"",2,"",NA,"",4,"Akron OH
 (41.081438050000486 81.51900823499966)"
"2308","Norfolk VA",2014,18,72,"",44,"",22,"",2,"",1,"",3,"",3,"Norfolk VA
 (36.846808260000444 76.28521898699967)"
"2309","Schenectady NY",2014,18,17,"",12,"",3,"",1,"",1,"",NA,"",3,"Schenectady NY
 (42.81423655900045 73.93956823999963)"
"2310","Portland OR",2014,18,103,"",61,"",27,"",7,"",2,"",6,"",6,"Portland OR
 (45.52344913200045 122.6762057679997)"
"2311","Providence RI",2014,18,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Providence RI
 (41.82398627500049 71.41282726599962)"
"2312","Cincinnati OH",2014,18,82,"",52,"",20,"",3,"",4,"",3,"",9,"Cincinnati OH
 (39.1619968280005 84.45688962899965)"
"2313","Richmond VA",2014,18,64,"",45,"",14,"",4,"",1,"",NA,"",4,"Richmond VA
 (37.5537557830005 77.46025815499968)"
